,date,credits_corp_f,credits_fiz_f,credits_corp_rub,credits_fiz_rub,deposits_corp_f,deposits_fiz_f,deposits_corp_rub,deposits_fiz_rub,key_rate,mp_index_banks,m0,f_currency_reserves,gold_reserves,treasures_y_r,gdp_proxy,exchange_rate
4,2015-07-01,11004.946065823353,261.0204858550967,20730.350841859192,10551.593576999689,10594.006494981337,5333.36328471813,12586.394139332773,14599.349969887773,11.733379568508301,-0.080109126984127,31895.253038194445,314484.43371775793,47969.81274801587,0.3363208591953153,101.33079585565476,58.97045876803388
5,2015-08-01,11284.657604692398,264.898481390811,20954.110565775853,10527.81635167826,10663.456779320622,5432.923315700273,12757.156847803013,14889.98052692349,11.303241900792992,-0.020585317460317443,32471.199466765873,312689.7491939484,43432.842509920636,0.44219346419737443,100.03542139136903,65.63776423280038
6,2015-09-01,12462.232748243738,291.1054977457217,20955.24918781306,10443.203500625434,11814.60787993595,6035.832477823785,12884.675628624444,15038.189504802209,11.375368403548505,0.038194444444444496,32661.484437003972,317342.74472966266,46226.39905753968,0.3734116326436759,101.47239079613095,66.66987601626842
7,2015-10-01,12187.993932217696,284.78710052176336,21009.255262234932,10376.23368319835,12371.930899717201,6140.529595427952,12846.972701436944,15290.464171047,11.378188726341653,0.09027777777777787,32448.87506200397,324336.05202132935,50430.612599206346,0.240825561023172,101.61393277529761,64.12955177834375
8,2015-11-01,11988.664165764572,268.4689299905134,21041.281213495346,10342.306894536892,12161.151924764075,6047.682657042534,12903.406163259859,15552.07992864075,11.326492663060922,0.14236111111111124,33052.5990203373,321321.78118799604,52065.79489087302,0.3998313211621559,101.2359466815476,65.60023776631114
9,2015-12-01,12546.081227504154,266.4645404019717,21188.82800685473,10318.308449505645,12167.538174816158,6127.047900219619,12930.184213311943,15778.81807741679,11.256772315791233,0.1944444444444445,33422.4115203373,318169.02077132935,50441.44593253969,0.5715116192084078,100.97415704613093,69.88124745386274
10,2016-01-01,13548.018427347903,289.31163968322176,21189.367344245347,10330.158111333767,13214.003379154701,6690.913390110243,12960.928288801526,15720.491427151166,11.171567589961507,0.3611111111111111,33502.109437003965,318183.8228546627,49965.16989087302,0.4980911112624064,100.03747287946427,77.45817158664563
11,2016-02-01,14098.162738337489,283.2988779488467,21548.050726162015,10325.911012542103,13592.566371326577,6695.359052834202,12919.39364244215,16054.544702739708,11.057893118456658,0.3923611111111111,33750.9115203373,315674.7863963294,51003.18030753969,0.4603972761001431,104.12256147321428,76.62074429630233
12,2016-03-01,13701.11794913957,267.14724302176336,21532.583763787017,10351.164715948351,13467.25388256095,6608.0107386154505,12895.753672739023,16289.87707310429,9.783027197684703,-0.326388888888889,33927.135478670636,321839.84889632935,56641.77926587301,0.7142713886707659,98.6823402752976,66.07935951523116
13,2016-04-01,12268.581082748946,235.56233414155506,21475.341579104726,10335.896579208767,12269.354612524492,6108.77730146441,13199.148668702566,16472.020096948043,10.094794423514427,-0.295138888888889,34383.2083953373,328801.2603546627,57591.268849206346,0.6234775767983645,101.18738162946428,65.17272876903307
