,date,credits_corp_f,credits_fiz_f,credits_corp_rub,credits_fiz_rub,deposits_corp_f,deposits_fiz_f,deposits_corp_rub,deposits_fiz_rub
0,2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2015-04-01,-346.702549390624,-20.090408880208315,-156.8727776822925,-123.21981373958442,-598.4542030364573,-70.70513615104119,-384.55006503645745,221.2560208437535
2,2015-05-01,-863.0055807083336,-39.110759041666654,6.149329588537512,-1.5822645208299946,-1006.2575327656268,-254.60412733854173,617.2552682499991,50.56347975520475
3,2015-06-01,536.2659340989576,-1.9682619010416715,169.86027628125157,-17.57587595312725,22.896517380208024,245.6975047916667,50.05567664062801,286.00905393229186
4,2015-07-01,861.5238966837824,6.656235656249976,98.59668088467515,-92.16041173511985,1273.0980768422633,373.8901618005948,-110.72919426042063,76.03239425223364
5,2015-08-01,279.7115388690454,3.8779955357143194,223.75972391666073,-23.777225321427977,69.45028433928564,99.56003098214296,170.7627084702399,290.63055703571627
6,2015-09-01,1177.5751435513394,26.207016354910706,1.1386220372078242,-84.61285105282695,1151.1511006153269,602.909162123512,127.51878082143048,148.20897787871945
7,2015-10-01,-274.2388160260416,-6.318397223958357,54.006074421871745,-66.9698174270834,557.3230197812518,104.69711760416703,-37.70292718749988,252.27466624479166
8,2015-11-01,-199.32976645312374,-16.31817053124996,32.02595126041342,-33.92678866145798,-210.77897495312573,-92.84693838541807,56.43346182291498,261.61575759374864
9,2015-12-01,557.4170617395812,-2.0043895885416987,147.54679335938272,-23.998445031247684,6.386250052082687,79.36524317708518,26.778050052083927,226.73814877604127
10,2016-01-01,1001.9371998437491,22.847099281250053,0.5393373906190391,11.849661828122407,1046.4652043385431,563.8654898906243,30.744075489583338,-58.32665026562427
11,2016-02-01,550.1443109895863,-6.012761734375033,358.6833819166677,-4.24709879166403,378.5629921718755,4.445662723958776,-41.534646359375984,334.0532755885415
12,2016-03-01,-397.04478919791836,-16.151634927083364,-15.46696237499782,25.25370340624795,-125.31248876562677,-87.34831421875151,-23.639969703126553,235.33237036458195
13,2016-04-01,-1432.5368663906247,-31.584908880208303,-57.24218468229083,-15.268136739583497,-1197.899270036458,-499.23343715104056,303.3949959635429,182.14302384375333
14,2016-05-01,-390.608124708333,-16.33275604166664,108.22910958853754,88.11148547916673,-426.3257987656252,-85.3437613385413,604.5614052500005,-3.617223244793422
15,2016-06-01,665.142472098958,-0.2926879010416883,219.57138828125244,49.78066704687444,249.79442238020783,184.11772979166653,118.16709864062796,348.6337869322888
16,2016-07-01,9.68197168378174,-7.352455343749995,205.81452488467403,-26.654608735119837,-57.6617411577372,-26.105000199405367,-32.886958260420215,104.44259525223606
17,2016-08-01,43.62771386904569,2.0551015357143,94.16113891666464,9.57315567857222,-486.09455866071585,66.21080898214313,210.83324247023847,204.1622180357117
18,2016-09-01,-502.6257234486602,-16.063860645089306,-134.02477096279472,7.458125947172448,-642.2744453846717,-279.37007887648815,-160.87565917856955,233.285903878721
19,2016-10-01,-290.6263570260435,-9.474478223958329,-153.02681457813014,-22.72151842708263,-254.8785672187496,9.57494960416716,32.08532981250028,197.36373524479495
20,2016-11-01,145.1266135468777,-3.387783531249994,-174.75360773958164,17.630224338541666,-28.968958953124456,33.66994061458263,141.5921098229137,213.01791659374794
21,2016-12-01,-77.86556526041932,-4.91903758854167,271.1987393593772,67.10195196875065,155.10199605208254,74.67929817708409,-246.26250194791464,233.20420077603922
22,2017-01-01,-1153.4843331562497,-18.655878718750017,59.88534739062379,51.76604682812467,-943.5986796614579,-492.48308410937534,-268.40797651041794,-203.5535672656224
23,2017-02-01,-278.5650420104157,-8.983769734374988,199.3897329166648,27.52696520833524,293.8770371718765,-63.38359327604121,286.73759264062573,634.3173895885375
24,2017-03-01,-499.07067619791815,-8.005726927083344,103.47962062500301,56.739524406248165,-621.7125577656279,-186.157500218751,125.69416429687226,224.99464736458685
25,2017-04-01,-189.49757539062375,-9.113691880208336,20.86055631770796,90.1935992604158,-186.91035903645752,-75.18726115104164,-118.68578403645552,102.18574584374801
26,2017-05-01,592.8703112916664,1.0073289583333462,11.665698588538362,184.17645947916753,83.11709123437504,282.8647636614587,557.6235642499996,-220.80676724479054
27,2017-06-01,117.94916909895983,-3.3237359010416867,352.92733128125474,113.56334204687482,82.00048038020759,-31.26601320833288,321.55599764062754,316.13270593229026
28,2017-07-01,675.2587206837798,8.686977656250036,185.17172988467064,79.10333826488022,786.128616842263,340.3371278005943,-75.85906626042015,220.61980725223475
29,2017-08-01,-583.5937381309541,-7.1157774642857134,24.066594916665053,119.49204067857136,-134.69875466071608,-237.44365201785695,216.2085004702385,81.56356603571476
30,2017-09-01,-539.6167824486602,-9.058644645089302,215.1395960372065,105.53407694717316,-500.1548483846709,-193.93565387648778,-140.3879921785683,162.96786887871713
31,2017-10-01,-187.69546402604283,-5.954513223958344,403.1989194218695,94.127329572917,-319.24824921875006,-14.876809395833334,-24.416282187501565,242.23257524479413
32,2017-11-01,-60.965316453122796,-4.46467753124999,53.86369826041846,141.21530233854173,175.71556204687477,-10.446521385417327,291.7513168229143,198.77929359374684
33,2017-12-01,-7.552502260417896,1.2048314114583434,257.1197913593787,212.33268996875086,11.575616052083205,-37.05436382291555,-43.61436694791519,281.9078347760442
34,2018-01-01,-475.61867415625056,-6.973905718750018,517.1626933906227,197.84217382812494,-397.0644996614574,-152.32791110937524,-147.65773451041787,-79.37315826562553
