,date,key_rate,exchange_rate,treasures_y_r,gdp_proxy,m0,mp_index_banks,f_currency_reserves,gold_reserves
0,2015-03-01,0.0,0.0,0.0,100.13185027529764,0.0,0.0,0.0,0.0
1,2015-04-01,-0.11680420274170267,-4.31534260766994,-0.010144461223050849,102.31152162946428,-118.92708333332848,0.03125,-2972.588541666628,563.4895833333358
2,2015-05-01,-0.7788718956482104,-0.013941300596293615,-0.006094041922989291,101.00780631696428,876.4479166666606,0.03125,-833.0000000000582,-49.18229166666424
3,2015-06-01,-0.05743311878180357,5.036593177766882,-0.005575070488721745,101.53095287946428,277.5000000000073,0.03125000000000014,2680.979166666686,412.5208333333285
4,2015-07-01,-0.5251098405761123,2.2390190309211206,0.04659031688658394,101.33079585565476,18.09672619047342,0.15252976190476186,3613.1941964285797,880.2053571428623
5,2015-08-01,-0.43013766771530904,6.6673054647665,0.10587260500205914,100.03542139136903,575.9464285714275,0.05952380952380956,-1794.6845238095266,-4536.970238095237
6,2015-09-01,0.07212650275551269,1.0321117834680393,-0.06878183155369855,101.47239079613095,190.28497023809905,0.05877976190476194,4652.995535714261,2793.556547619046
7,2015-10-01,0.0028203227931484776,-2.540324237924665,-0.13258607162050387,101.61393277529761,-212.60937500000364,0.05208333333333338,6993.307291666686,4204.213541666664
8,2015-11-01,-0.05169606328073151,1.4706859879673857,0.1590057601389839,101.2359466815476,603.7239583333321,0.05208333333333337,-3014.270833333314,1635.1822916666715
9,2015-12-01,-0.06972034726968879,4.281009687551602,0.17168029804625184,100.97415704613093,369.8125,0.05208333333333326,-3152.760416666686,-1624.3489583333285
10,2016-01-01,-0.08520472582972616,7.576924132782892,-0.07342050794600136,100.03747287946427,79.69791666666424,0.1666666666666666,14.802083333372138,-476.2760416666715
11,2016-02-01,-0.113674471504849,-0.8374272903432995,-0.03769383516226332,104.12256147321428,248.80208333333576,0.03125,-2509.036458333314,1038.0104166666715
12,2016-03-01,-1.2748659207719548,-10.541384781071173,0.2538741125706228,98.6823402752976,176.22395833333576,-0.7187500000000001,6165.062499999942,5638.598958333321
13,2016-04-01,0.3117672258297244,-0.9066307461980898,-0.09079381187240143,101.18738162946428,456.07291666666424,0.03125,6961.411458333372,949.4895833333358
14,2016-05-01,0.6421807359307365,1.8928154511315256,0.022256607427660002,101.36873631696429,625.4479166666642,0.03125,2685.999999999942,1304.8177083333358
15,2016-06-01,0.23579996392496305,0.43612218361482746,-0.07918546009911132,101.81066287946427,691.5000000000073,0.03125000000000014,274.97916666668607,-1751.4791666666715
16,2016-07-01,-0.23939555486182584,-1.3729090191447568,-0.013546046749779772,100.85983585565475,116.09672619047342,0.15252976190476186,-1360.8058035714203,6093.205357142862
17,2016-08-01,0.06986233228469096,-0.9774563552974911,0.0817373706711727,101.88782139136904,613.9464285714275,0.05952380952380956,-982.6845238095266,-247.9702380952367
18,2016-09-01,-0.15514622451721394,-0.707115922159673,-0.04132841540463028,100.15006079613096,40.28497023809905,0.05877976190476194,-249.00446428573923,263.5565476190459
19,2016-10-01,-0.2699069499341249,-0.9402155234507319,0.04358059504616296,101.60212277529763,74.390625,0.05208333333333338,5023.307291666686,3797.2135416666642
20,2016-11-01,-0.05169606328073151,1.380443119927719,0.021996988209159296,103.3479766815476,397.7239583333285,0.05208333333333337,-5622.270833333314,-1131.8177083333285
21,2016-12-01,-0.06972034726968879,-2.616721771530891,0.1250765158635223,97.85820704613096,167.8125,0.05208333333333326,-3798.760416666686,-1500.3489583333285
22,2017-01-01,-0.08520472582972616,-3.1140880954779746,-0.0036325152369562907,103.01047287946429,-370.30208333333576,0.1666666666666666,-8876.197916666628,-2822.2760416666715
23,2017-02-01,-0.113674471504849,-1.3219921660742955,-0.03350962463594742,98.28879147321429,1060.8020833333358,0.03125,7248.963541666686,964.0104166666715
24,2017-03-01,-1.3316841025901383,-4.163938384777403,0.32141894302620866,101.61604027529762,278.22395833333576,-0.7187500000000001,5892.062499999942,3675.5989583333285
25,2017-04-01,0.11858540764790781,1.258034405317062,0.04152601932614841,101.38343162946428,170.07291666666424,0.03125,1230.4114583333721,788.4895833333285
26,2017-05-01,0.14218073593073655,3.2512503945506808,0.06716433128275212,103.53695631696428,317.44791666666424,0.03125,2549.999999999942,18.817708333328483
27,2017-06-01,0.4262761544011546,1.998618841927268,0.03815220223855098,101.47100287946427,713.5000000000073,0.03125000000000014,5584.979166666686,1466.520833333343
28,2017-07-01,-0.17987174533801742,1.307889465703738,0.047817589613856626,98.87186585565475,302.0967261904734,0.15252976190476186,6209.19419642858,1.205357142855064
29,2017-08-01,0.06986233228469096,-1.6559655497262469,0.03260693588856389,102.50659139136904,91.94642857142753,0.05952380952380956,3825.3154761904734,-3.9702380952367093
30,2017-09-01,-0.16596873533972456,-2.1958283727525583,-0.015531313955354786,99.91615079613096,45.28497023809905,0.05877976190476194,722.9955357142608,3536.556547619053
31,2017-10-01,-0.28181171183888765,0.9503457319605246,0.09503297599854355,98.6637327752976,247.390625,0.05208333333333338,3964.307291666686,3098.213541666657
32,2017-11-01,-0.27896879055345813,0.9152097865943887,0.1078779405901118,101.9281966815476,592.7239583333285,0.05208333333333337,288.72916666668607,51.18229166667152
33,2017-12-01,-0.30781558536492604,-0.7469728161384666,0.13538603967304597,96.67452704613095,231.8125,0.05208333333333326,3246.239583333314,3686.6510416666715
34,2018-01-01,-0.3471094877344889,-2.7284075865846873,0.13941510381066324,105.78479287946429,-27.30208333333576,0.1666666666666666,-2216.197916666628,-830.2760416666715
